"Id"         ,"Märke"         ,"Modell"             ,"Bränsle"             ,"Växellåda" ,"Miltal"  ,"Modellår" ,"Biltyp"      ,"Drivning"       ,"HK"  ,"Färg"   ,"Motorstorlek" ,"Datum i trafik" ,"Region"         ,"Pris"
"1400663482" ,"Toyota"        ,"Corolla"            ,"Miljöbränsle/Hybrid" ,"Automat"   ,"3 700"   ,"2022"     ,"Kombi"       ,"Tvåhjulsdriven" ,"123" ,"Silver" ,"1798"         ,"2022-09-06"     ,"Stockholm"      ,245000
"1400663488" ,"Alfa Romeo"    ,"159"                ,"Diesel"              ,"Manuell"   ,"12 800"  ,"2011"     ,NA            ,"Tvåhjulsdriven" ,"170" ,"Röd"    ,"1956"         ,"2011-03-18"     ,"Skåne"          ,65000
"1400662665" ,"Renault"       ,"Clio"               ,"Bensin"              ,"Automat"   ,"14 774"  ,"2017"     ,"Kombi"       ,"Tvåhjulsdriven" ,"119" ,"Silver" ,"1197"         ,"2017-05-30"     ,"Värmland"       ,124600
"1400663329" ,"Audi"          ,"A6"                 ,"Diesel"              ,"Automat"   ,"18 284"  ,"2013"     ,"Kombi"       ,"Tvåhjulsdriven" ,"177" ,"Grå"    ,"1968"         ,"2013-04-25"     ,"Skåne"          ,154000
"1400663428" ,"BMW"           ,"120"                ,"Bensin"              ,"Manuell"   ,"7 036"   ,"2010"     ,"Cab"         ,"Tvåhjulsdriven" ,"170" ,"Grå"    ,"1995"         ,"2010-07-26"     ,"Skåne"          ,127000
"1400636887" ,"Volvo"         ,"V70"                ,"Diesel"              ,"Automat"   ,"44 000"  ,"2012"     ,"Kombi"       ,"Tvåhjulsdriven" ,"116" ,"Vit"    ,"1560"         ,"2012-04-30"     ,"Kalmar"         ,70000
"1400663355" ,"Kia"           ,"Venga"              ,"Bensin"              ,"Manuell"   ,"7 215"   ,"2013"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"90"  ,"Svart"  ,"1396"         ,"2014-07-31"     ,"Stockholm"      ,62000
"1400663398" ,"Audi"          ,"A3"                 ,"Bensin"              ,"Automat"   ,"6 153"   ,"2019"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"150" ,"Röd"    ,"1498"         ,"2018-12-19"     ,"Östergötland"   ,228000
"1400663423" ,"Skoda"         ,"Superb"             ,"Diesel"              ,"Automat"   ,"12 736"  ,"2017"     ,"Kombi"       ,"Tvåhjulsdriven" ,"150" ,"Grå"    ,"1968"         ,"2017-02-23"     ,"Västerbotten"   ,165000
"1400663454" ,"Toyota"        ,"Prius"              ,"Miljöbränsle/Hybrid" ,"Automat"   ,"27 056"  ,"2008"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"112" ,"Silver" ,"1496"         ,"2008-06-18"     ,"Göteborg"       ,51999
"1400434942" ,"Lancia"        ,"Voyager"            ,"Diesel"              ,"Automat"   ,"19 093"  ,"2012"     ,"Familjebuss" ,"Tvåhjulsdriven" ,"164" ,"Svart"  ,"2776"         ,"2012-11-30"     ,"Stockholm"      ,120000
"1400475741" ,"Tesla"         ,"Model 3"            ,"El"                  ,"Automat"   ,"4 340"   ,"2021"     ,"Sedan"       ,"Tvåhjulsdriven" ,"325" ,"Vit"    ,NA             ,"2022-04-25"     ,"Skaraborg"      ,365000
"1400558747" ,"Volkswagen"    ,"Passat"             ,"Miljöbränsle/Hybrid" ,"Automat"   ,"6 546"   ,"2020"     ,"Kombi"       ,"Tvåhjulsdriven" ,"218" ,"Grå"    ,"1395"         ,"2020-05-05"     ,"Stockholm"      ,299000
"1400663374" ,"Hyundai"       ,"i40"                ,"Diesel"              ,"Manuell"   ,"20 309"  ,"2012"     ,"Kombi"       ,"Tvåhjulsdriven" ,"136" ,"Grå"    ,"1685"         ,"2012-12-18"     ,"Skåne"          ,75000
"1400662587" ,"Volvo"         ,"V90 Cross Country"  ,"Diesel"              ,"Automat"   ,"10 647"  ,"2018"     ,"Kombi"       ,"Fyrhjulsdriven" ,"191" ,"Vit"    ,"1969"         ,"2018-02-14"     ,"Uppsala"        ,390000
"1400662095" ,"Volvo"         ,"V40"                ,"Diesel"              ,"Manuell"   ,"11 445"  ,"2017"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"120" ,"Vit"    ,"1969"         ,"2017-04-20"     ,"Jönköping"      ,135000
"1400659398" ,"Audi"          ,"A8"                 ,"Bensin"              ,"Automat"   ,"18 723"  ,"2008"     ,"Sedan"       ,"Fyrhjulsdriven" ,"451" ,"Grå"    ,"5998"         ,"2012-12-17"     ,"Kronoberg"      ,120000
"1400443467" ,"Mercedes-Benz" ,"GLC"                ,"Bensin"              ,"Automat"   ,"11 788"  ,"2018"     ,"SUV"         ,"Fyrhjulsdriven" ,"211" ,"Brun"   ,"1991"         ,"2018-09-25"     ,"Skåne"          ,283000
"1400663403" ,"BMW"           ,"320"                ,"Bensin"              ,"Manuell"   ,"18 300"  ,"2003"     ,"Sedan"       ,"Tvåhjulsdriven" ,"170" ,"Grå"    ,"2171"         ,"2003-02-28"     ,"Stockholm"      ,59000
"1400663345" ,"Volvo"         ,"V40"                ,"Bensin"              ,"Manuell"   ,"23 908"  ,"2016"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"153" ,"Svart"  ,"1969"         ,"2016-03-18"     ,"Skaraborg"      ,95000
"1400627383" ,"Audi"          ,"Q5"                 ,"Diesel"              ,"Automat"   ,"10 100"  ,"2018"     ,"SUV"         ,"Fyrhjulsdriven" ,"191" ,"Vit"    ,"1968"         ,"2017-11-01"     ,"Norrbotten"     ,289000
"1400663327" ,"Mercedes-Benz" ,"CLK"                ,"Bensin"              ,"Automat"   ,"19 853"  ,"2007"     ,"Cab"         ,"Tvåhjulsdriven" ,"388" ,"Svart"  ,"5461"         ,"2022-04-07"     ,"Östergötland"   ,200000
"1400538573" ,"Volkswagen"    ,"Tiguan"             ,"Bensin"              ,"Automat"   ,"1 559"   ,"2022"     ,"SUV"         ,"Tvåhjulsdriven" ,"150" ,"Svart"  ,"1498"         ,"2022-12-30"     ,"Stockholm"      ,315900
"1400558568" ,"BMW"           ,"M3"                 ,"Bensin"              ,"Manuell"   ,"8 500"   ,"2002"     ,"Cab"         ,NA               ,NA    ,NA       ,NA             ,NA               ,"Värmland"       ,649000
"1400537525" ,"Lexus"         ,"ES"                 ,"Miljöbränsle/Hybrid" ,"Automat"   ,"1 200"   ,"2022"     ,"Sedan"       ,NA               ,NA    ,NA       ,NA             ,NA               ,"Skåne"          ,409900
