"id"         ,"mark"         ,"model"             ,"fuel"             ,"gearbox" ,"mileage"  ,"year" ,"type"      ,"drive"       ,"hp"  ,"color"   ,"motorsize" ,"first_in_traffic" ,"region"         ,"price"
"1400677807" ,"Toyota"        ,"C-HR"               ,"Miljöbränsle/Hybrid" ,"Automat"   ,"2 300"   ,"2022"     ,"SUV"         ,"Tvåhjulsdriven" ,"123" ,"Grå"    ,"1798"         ,"2022-11-30"     ,"Stockholm"      ,299000
"1400612907" ,"Renault"       ,"Grand Scénic"       ,"Diesel"              ,"Automat"   ,"15 200"  ,"2017"     ,"Familjebuss" ,"Tvåhjulsdriven" ,"111" ,NA       ,"1461"         ,"2017-03-30"     ,"Älvsborg"       ,145000
"1400677013" ,"Ford"          ,"C-Max"              ,"Diesel"              ,"Manuell"   ,"22 570"  ,"2012"     ,"Familjebuss" ,"Tvåhjulsdriven" ,"116" ,"Vit"    ,"1560"         ,"2012-06-29"     ,"Skåne"          ,46000
"1400594534" ,"Opel"          ,"Corsa"              ,"Bensin"              ,"Manuell"   ,"11 564"  ,"2019"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"90"  ,"Vit"    ,"1364"         ,"2018-11-23"     ,"Stockholm"      ,80000
"1400677732" ,"Kia"           ,"Optima"             ,"Miljöbränsle/Hybrid" ,"Automat"   ,"14 850"  ,"2019"     ,"Kombi"       ,"Tvåhjulsdriven" ,"206" ,"Vit"    ,"1999"         ,"2019-11-01"     ,"Göteborg"       ,199000
"1400677769" ,"Volvo"         ,"XC90"               ,"Bensin"              ,"Automat"   ,"32 148"  ,"2004"     ,"SUV"         ,"Fyrhjulsdriven" ,"210" ,"Svart"  ,"2521"         ,"2004-06-23"     ,"Västernorrland" ,35000
"1400677747" ,"Audi"          ,"A4"                 ,"Bensin"              ,"Manuell"   ,"20 500"  ,"2005"     ,"Kombi"       ,NA               ,NA    ,NA       ,NA             ,NA               ,"Jämtland"       ,40000
"1400677725" ,"Hyundai"       ,"i10"                ,"Bensin"              ,"Automat"   ,"2 100"   ,"2023"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"67"  ,"Blå"    ,"998"          ,"2023-05-26"     ,"Göteborg"       ,159000
"1400677750" ,"Volvo"         ,"XC90"               ,"Diesel"              ,"Automat"   ,"15 678"  ,"2017"     ,"SUV"         ,NA               ,NA    ,NA       ,NA             ,NA               ,"Göteborg"       ,299000
"1400677618" ,"Volvo"         ,"V70"                ,"Diesel"              ,"Automat"   ,"18 000"  ,"2014"     ,"Kombi"       ,"Tvåhjulsdriven" ,"181" ,"Grå"    ,"1969"         ,"2014-04-08"     ,"Göteborg"       ,129000
"1400677706" ,"Volvo"         ,"V70"                ,"Bensin"              ,"Manuell"   ,"30 865"  ,"2007"     ,"Kombi"       ,"Tvåhjulsdriven" ,"210" ,"Grå"    ,"2521"         ,"2007-01-31"     ,"Skåne"          ,44400
"1400648448" ,"BMW"           ,"X4"                 ,"Bensin"              ,"Automat"   ,"8 300"   ,"2019"     ,"SUV"         ,"Fyrhjulsdriven" ,"354" ,"Blå"    ,"2998"         ,"2019-04-27"     ,"Skaraborg"      ,480000
"1400677710" ,"Jaguar"        ,"XJ"                 ,"Bensin"              ,"Automat"   ,"21 223"  ,"2010"     ,"Sedan"       ,"Tvåhjulsdriven" ,"385" ,"Svart"  ,"5000"         ,"2016-06-30"     ,"Stockholm"      ,169000
"1400677712" ,"Opel"          ,"Astra"              ,"Bensin"              ,"Manuell"   ,"13 941"  ,"2013"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"141" ,"Grå"    ,"1364"         ,"2013-11-04"     ,"Stockholm"      ,55000
"1400677713" ,"BMW"           ,"530"                ,"Bensin"              ,"Automat"   ,"16 100"  ,"2008"     ,"Sedan"       ,"Tvåhjulsdriven" ,"272" ,"Svart"  ,"2996"         ,"2007-10-17"     ,"Uppsala"        ,109999
"1400620429" ,"Fiat"          ,"500C"               ,"Bensin"              ,"Manuell"   ,"7 600"   ,"2018"     ,"Cab"         ,"Tvåhjulsdriven" ,"70"  ,"Röd"    ,"1242"         ,"2018-05-18"     ,"Jönköping"      ,107500
"1400533379" ,"BMW"           ,"330e"               ,"Miljöbränsle/Hybrid" ,"Automat"   ,"4 840"   ,"2021"     ,"Kombi"       ,"Fyrhjulsdriven" ,"293" ,"Grå"    ,"1998"         ,"2020-11-13"     ,"Göteborg"       ,433000
"1400527848" ,"Land Rover"    ,"Discovery"          ,"Diesel"              ,"Automat"   ,"15 700"  ,"2014"     ,"SUV"         ,"Fyrhjulsdriven" ,"211" ,"Svart"  ,"2993"         ,"2015-03-12"     ,"Stockholm"      ,234500
"1400668952" ,"Toyota"        ,"Yaris"              ,"Miljöbränsle/Hybrid" ,"Automat"   ,"8 550"   ,"2017"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"101" ,"Blå"    ,"1497"         ,"2017-10-26"     ,"Södermanland"   ,140000
"1400677669" ,"Citroën"       ,"C1"                 ,"Bensin"              ,"Manuell"   ,"14 800"  ,"2011"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"68"  ,"Vit"    ,"998"          ,"2011-04-29"     ,"Jönköping"      ,27500
"1400677628" ,"Volkswagen"    ,"Golf"               ,"Bensin"              ,"Manuell"   ,"19 980"  ,"2010"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"123" ,"Vit"    ,"1390"         ,"2010-03-30"     ,"Värmland"       ,47000
"1400677662" ,"Tesla"         ,"Model S"            ,"El"                  ,"Automat"   ,"16 859"  ,"2015"     ,"Halvkombi"   ,"Fyrhjulsdriven" ,"423" ,"Svart"  ,NA             ,"2015-09-01"     ,"Göteborg"       ,299000
"1400671221" ,"Audi"          ,"A4"                 ,"Diesel"              ,"Automat"   ,"14 830"  ,"2017"     ,"Kombi"       ,"Fyrhjulsdriven" ,"191" ,"Silver" ,"1968"         ,"2017-04-25"     ,"Uppsala"        ,205000
"1400676984" ,"Volvo"         ,"V60"                ,"Diesel"              ,"Automat"   ,"7 120"   ,"2021"     ,"Kombi"       ,"Fyrhjulsdriven" ,"191" ,"Röd"    ,"1969"         ,"2020-07-10"     ,"Örebro"         ,359800
"1400677649" ,"Seat"          ,"Leon"               ,"Bensin"              ,"Manuell"   ,"23 828"  ,"2006"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"185" ,"Röd"    ,"1984"         ,"2007-01-04"     ,"Östergötland"   ,25000
"1400677639" ,"MINI"          ,"Cooper"             ,"Bensin"              ,"Manuell"   ,"8 550"   ,"2019"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"136" ,"Vit"    ,"1499"         ,"2018-08-20"     ,"Skaraborg"      ,163000
"1400549745" ,"Nissan"        ,"Pulsar"             ,"Diesel"              ,"Manuell"   ,"21 099"  ,"2015"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"111" ,"Vit"    ,"1461"         ,"2015-06-02"     ,"Göteborg"       ,52900
"1400677640" ,"BMW"           ,"525"                ,"Bensin"              ,"Manuell"   ,"24 807"  ,"2004"     ,"Kombi"       ,"Tvåhjulsdriven" ,"192" ,"Grå"    ,"2494"         ,"2004-06-11"     ,"Västmanland"    ,43000
"1400677608" ,"Nissan"        ,"Qashqai"            ,"Diesel"              ,"Manuell"   ,"11 600"  ,"2015"     ,"SUV"         ,NA               ,NA    ,NA       ,NA             ,NA               ,"Blekinge"       ,110000
"1400677537" ,"Volvo"         ,"V90"                ,"Diesel"              ,"Manuell"   ,"10 166"  ,"2018"     ,"Kombi"       ,"Tvåhjulsdriven" ,"150" ,"Vit"    ,"1969"         ,"2018-04-06"     ,"Dalarna"        ,209000
"1400677598" ,"Suzuki"        ,"Swift"              ,"Diesel"              ,"Manuell"   ,"20 899"  ,"2011"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"75"  ,"Grå"    ,"1248"         ,"2012-07-25"     ,"Stockholm"      ,34900
"1400677572" ,"Skoda"         ,"Fabia"              ,"Bensin"              ,"Manuell"   ,"7 421"   ,"2018"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"96"  ,"Vit"    ,"999"          ,"2017-09-27"     ,"Stockholm"      ,123000
"1400617332" ,"Saab"          ,"9-5"                ,"Bensin"              ,"Manuell"   ,"22 305"  ,"2003"     ,"Sedan"       ,"Tvåhjulsdriven" ,"150" ,"Röd"    ,"1985"         ,"2002-11-18"     ,"Göteborg"       ,20000
"1400677571" ,"Audi"          ,"Q7"                 ,"Diesel"              ,"Automat"   ,"21 404"  ,"2009"     ,"SUV"         ,"Fyrhjulsdriven" ,"240" ,"Svart"  ,"2967"         ,"2008-12-30"     ,"Skåne"          ,109900
"1400677549" ,"BMW"           ,"530"                ,"Diesel"              ,"Automat"   ,"25 500"  ,"2014"     ,"Kombi"       ,"Tvåhjulsdriven" ,"259" ,"Grå"    ,"2993"         ,"2016-08-13"     ,"Skåne"          ,215000
"1400638017" ,"Fiat"          ,"500X"               ,"Bensin"              ,"Manuell"   ,"538"     ,"2018"     ,"Kombi"       ,"Tvåhjulsdriven" ,"111" ,"Röd"    ,"1598"         ,"2018-04-20"     ,"Skåne"          ,135000
"1400677565" ,"Audi"          ,"A4"                 ,"Diesel"              ,"Automat"   ,"21 948"  ,"2017"     ,"Kombi"       ,"Fyrhjulsdriven" ,"191" ,"Svart"  ,"1968"         ,"2017-04-18"     ,"Västernorrland" ,165000
"1400629745" ,"BMW"           ,"120"                ,"Diesel"              ,"Manuell"   ,"22 000"  ,"2011"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"177" ,"Vit"    ,"1995"         ,"2010-12-15"     ,"Stockholm"      ,80000
"1400586288" ,"Volkswagen"    ,"The Beetle"         ,"Bensin"              ,"Automat"   ,"6 350"   ,"2013"     ,"Cab"         ,"Tvåhjulsdriven" ,"161" ,"Silver" ,"1390"         ,"2013-05-28"     ,"Halland"        ,170000
"1400677547" ,"Mercedes-Benz" ,"S"                  ,"Bensin"              ,"Automat"   ,"15 511"  ,"2004"     ,"Sedan"       ,"Tvåhjulsdriven" ,"501" ,"Vit"    ,"5439"         ,NA               ,"Gävleborg"      ,80000
"1400500017" ,"Audi"          ,"TTS"                ,"Bensin"              ,"Manuell"   ,"16 000"  ,"2009"     ,"Cab"         ,"Fyrhjulsdriven" ,"272" ,"Vit"    ,"1984"         ,"2013-10-10"     ,"Halland"        ,209000
"1400677504" ,"MINI"          ,"Countryman"         ,"Miljöbränsle/Hybrid" ,"Automat"   ,"7 541"   ,"2019"     ,"Kombi"       ,"Fyrhjulsdriven" ,"225" ,"Svart"  ,"1499"         ,"2019-01-16"     ,"Dalarna"        ,305000
"1400677535" ,"Ford"          ,"Mondeo"             ,"Diesel"              ,"Automat"   ,"29 265"  ,"2011"     ,"Kombi"       ,"Tvåhjulsdriven" ,"200" ,"Brun"   ,"2179"         ,"2011-05-06"     ,"Norrbotten"     ,20000
"1400677482" ,"Audi"          ,"A5"                 ,"Bensin"              ,"Automat"   ,"6 500"   ,"2014"     ,"Cab"         ,"Tvåhjulsdriven" ,"170" ,"Silver" ,"1798"         ,"2014-06-02"     ,"Örebro"         ,204900
"1400677469" ,"BMW"           ,"320"                ,"Diesel"              ,"Automat"   ,"28 906"  ,"2012"     ,"Kombi"       ,"Fyrhjulsdriven" ,"184" ,"Blå"    ,"1995"         ,"2011-08-15"     ,"Uppsala"        ,69000
"1400677455" ,"Mercedes-Benz" ,"GLC"                ,"Diesel"              ,"Automat"   ,"9 350"   ,"2018"     ,"SUV"         ,"Fyrhjulsdriven" ,"170" ,"Svart"  ,"2143"         ,"2018-06-29"     ,"Göteborg"       ,379000
"1400677470" ,"Land Rover"    ,"Discovery"          ,"Diesel"              ,"Automat"   ,"30 477"  ,"2013"     ,"SUV"         ,"Fyrhjulsdriven" ,"256" ,"Vit"    ,"2993"         ,"2013-10-01"     ,"Kronoberg"      ,199000
